Model,Prices
MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT EVOKE OC 8GB 256-Bit GDDR6,$379.99
XFX Radeon RX 5700 XT DirectX 12 RX-57XT83LD8 8GB 256-Bit GDDR6 PCI Ex,$499.99
MSI Radeon RX 570 DirectX 12 RX 570 8GT OC 8GB 256-Bit GDDR5 PCI Expre,$149.99
ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition,$529.99
MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PC,$419.99
"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card, 3 x",$739.99
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC 8GB,$519.99
GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC,$839.99
MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Ventus XS OC 4GB,$169.99
MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB,$409.99
MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 P,$419.99
"GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card, PCIe 3.0, 8",$184.99
"GIGABYTE GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphics Card, 2 x WIN",$169.99
MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit,$299.99
GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GL 4GB 128-Bit GDDR6,$159.99
"GIGABYTE Radeon RX 5700 GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-",$359.99
GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD 8GB 256-Bit G,$409.99
MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6,$389.99
"GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card, PCIe 4.0, 8GB 256-B",$429.99
MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI,$189.99
GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SGAMINGOC WB-8GD 8GB,$749.99
"EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card, 06G-P4-1061-KR, 6",$229.99
GIGABYTE GeForce GTX 1650 SUPER DirectX 12 GV-N165SOC-4GD 4GB 128-Bit,$159.99
"ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card, RX5700XT P",$399.99
ASUS Dual GeForce RTX 2060 SUPER DUAL-RTX2060S-O8G-EVO-V2 8GB 256-Bit,$409.99
SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDD,$299.99
"EVGA GeForce RTX 2070 SUPER KO GAMING Video Card, 08G-P4-2072-KR, 8GB",$524.99
NVIDIA TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 P,"$2,499."
"EVGA GeForce RTX 2070 SUPER XC HYBRID GAMING, 08G-P4-3178-KR, 8GB GDDR",$599.99
MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 P,$439.99
ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO-V2 8GB 256-,$419.99
MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5,$154.99
ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Re,$239.99
"GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WIN",$399.99
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Rea,$329.99
MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING 6G 6GB 192-Bit GDDR6 P,$369.99
ASRock Radeon RX 5700 DirectX 12 RX 5700 CHALLENGER D 8G OC 8GB 256-Bi,$329.99
GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6GD rev. 2.0 6,$289.99
Asus ROG Strix ROG-STRIX-RTX2060S-A8G-EVO-GAMING GeForce RTX 2060 SUPE,$449.99
MSI GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5,$239.99
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit,$169.45
ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP,$169.99
ASRock Challenger D Radeon RX 5600 XT RX5600XT CLD 6GO 6GB (14Gbps) 19,$269.99
"EVGA GeForce RTX 2070 SUPER GAMING, 08G-P4-3070-KR, 8GB GDDR6, RGB LED",$529.99
"GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card, 2 x WINDFORCE Fans,",$289.99
MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 Ventus XS OC 4GB 128-Bit G,$149.99
XFX RX 5700 XT THICC III ULTRA 8GB BOOST UP TO 2025 MHz GDDR6 3xDP HDM,$439.99
"EVGA GeForce RTX 2060 KO GAMING Video Card, 06G-P4-2066-KR, 6GB GDDR6,",$344.99
ASRock Phantom Gaming D3 Radeon RX 5600 XT RX5600XT PGD3 6GO 6GB (14Gb,$289.99
"ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card,",$339.99
SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit,$464.99
GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMING OC-8GD v2.0,$419.99
XFX RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI P,$189.99
MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI,$174.99
GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656EAGLE OC-4GD 4GB 128-Bit,$169.99
"ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card, RX5500XT P",$199.99
ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-G,$359.99
ASUS ROG Strix GeForce GTX 1660 SUPER Advanced 6GB Edition GDDR6 HDMI,$249.99
"EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING, 08G-P4-3173-KR, 8GB GDDR6",$626.00
MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OC 8GB 256-Bit GDDR6,"$1,248."
ASUS GeForce GTX 1650 Overclocked 4GB Dual-fan Edition HDMI DP 1.4 DVI,$149.99
"EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card, 04G-P4-1357-KR",$188.00
MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-,$288.99
ASUS TUF Gaming X3 Radeon RX 5700 XT DirectX 12 TUF 3-RX5700XT-O8G-EVO,$419.99
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR,$157.99
